time,cyklisté,chodci
Kounicova B,,do centra,z centra
2020-06-22 19:00,5827,8774,13129,8027
2020-06-22 20:00,5827,8774,13165,8027
2020-06-22 21:00,5827,8774,13178,8027
2020-06-22 22:00,5827,8774,13190,8027
2020-06-22 23:00,5827,8774,13203,8027
2020-06-23 00:00,5827,8774,13206,8027
2020-06-23 01:00,5827,8774,13208,8027
2020-06-23 02:00,5827,8774,13208,8027
2020-06-23 03:00,5827,8774,13209,8027
2020-06-23 04:00,5827,8774,13209,8027
2020-06-23 05:00,5827,8774,13209,8027
2020-06-23 06:00,5827,8774,13213,8027
2020-06-23 07:00,5827,8774,13226,8027
2020-06-23 08:00,5827,8774,13241,8027
2020-06-23 09:00,5827,8774,13271,8027
2020-06-23 10:00,5827,8774,13320,8027
2020-06-23 11:00,5827,8774,13347,8027
2020-06-23 12:00,5827,8774,13377,8027
2020-06-23 13:00,5827,8774,13406,8027
2020-06-23 14:00,5827,8774,13430,8027
2020-06-23 15:00,5827,8774,13452,8027
2020-06-23 16:00,5827,8774,13479,8027
2020-06-23 17:00,5827,8774,13527,8027
2020-06-23 18:00,5827,8774,13559,8027
2020-06-23 19:00,5827,8774,13588,8027
2020-06-23 20:00,5827,8774,13615,8027
2020-06-23 21:00,5827,8774,13639,8027
2020-06-23 22:00,5827,8774,13661,8027
2020-06-23 23:00,5827,8774,13673,8027
2020-06-24 00:00,5827,8774,13678,8027
2020-06-24 01:00,5827,8774,13682,8027
2020-06-24 02:00,5827,8774,13683,8027
2020-06-24 03:00,5827,8774,13686,8027
2020-06-24 04:00,5827,8774,13686,8027
2020-06-24 05:00,5827,8774,13686,8027
2020-06-24 06:00,5827,8774,13688,8027
